"item_eng","item_de","bin_eng","bin_de"
"Toiletries and tissues","Hygiene-Artikel","Household","Haus-Müll"
"Crockery","Geschirr","Household","Haus-Müll"
"Vacuum cleaner bags","Staubsauger-Beutel","Household","Haus-Müll"
"Soiled paper","verschmutztes Papier","Household","Haus-Müll"
"Leftover wallpaper","Tapeten","Household","Haus-Müll"
"Ashes and ashtray contents","Asche","Household","Haus-Müll"
"Nappies","Windeln","Household","Haus-Müll"
"Animal litter","Tier-Streu","Household","Haus-Müll"
"Mirror glass","Spiegel-Glas","Household","Haus-Müll"
"Window glass","Fenster-Glas","Household","Haus-Müll"
"Sweepings","Kehricht","Household","Haus-Müll"
"Photos","Fotos","Household","Haus-Müll"
"Dried-up paints","eingetrocknete Farben","Household","Haus-Müll"
"Leftover food, even cooked (can be wrapped in newspaper)","Essens-Reste - auch gekochte Essens-Reste","Food","Bio-Gut"
"Peelings","Schalen","Food","Bio-Gut"
"Old food (without packaging)","Alte Lebensmittel ohne Verpackung","Food","Bio-Gut"
"Citrus","Zitrus","Food","Bio-Gut"
"Fruit leftovers","Obst-Reste","Food","Bio-Gut"
"Vegetable leftovers","Gemüse-Reste","Food","Bio-Gut"
"Coffee filters","Kaffee-Filter","Food","Bio-Gut"
"Tea filters","Tee-Filter","Food","Bio-Gut"
"Coffee grounds","Kaffeesatz","Food","Bio-Gut"
"Tea","Tee","Food","Bio-Gut"
"Kitchen paper","Küchen-Papier","Food","Bio-Gut"
"Teabags","Teebeutel","Food","Bio-Gut"
"Cuttings/stems","Garten-Abfälle","Food","Bio-Gut"
"Eggshells","Eier-Schalen","Food","Bio-Gut"
"Leaves","Blätter","Food","Bio-Gut"
"Flowers","Blumen","Food","Bio-Gut"
"Plastic bottles e.g. for care products, soaps and detergents","Plastikflaschen z.B. für Pflegeprodukte, Seifen und Waschmittel","Recycling","Verpackung"
"Everyday objects","Alltagsgegenstände","Recycling","Verpackung"
"Watering cans","Gießkannen","Recycling","Verpackung"
"Foams, e.g. polystyrene for food","Schaumstoffe, zum Beispiel Styropor-Schalen für Lebensmittel","Recycling","Verpackung"
"Drink cans","Konserven-Dosen","Recycling","Verpackung"
"Pots","Koch-Töpfe","Recycling","Verpackung"
"Aluminium foils","Folien","Recycling","Verpackung"
"Drinks cartons","Getränke-Kartons","Recycling","Verpackung"
"Yoghurt pot","Joghurt-Becher","Recycling","Verpackung"
"Margerine tub","Margarinebecher","Recycling","Verpackung"
"Cling film","Folien","Recycling","Verpackung"
"Plastic bags","Plastik-Tüten","Recycling","Verpackung"
"Tin cans","Konserven-Dosen","Recycling","Verpackung"
"Bottle caps","Flaschenverschluss","Recycling","Verpackung"
"Tools","Werkzeuge","Recycling","Verpackung"
"Cutlery","Besteck","Recycling","Verpackung"
"Screws","Schrauben","Recycling","Verpackung"
"Aluminium lids","Aluminium-Deckel","Recycling","Verpackung"
"Aluminium containers","Aluminium-Becher","Recycling","Verpackung"
"Plastic bowls","Plastikschale","Recycling","Verpackung"
"Toys","Spielzeug","Recycling","Verpackung"
"Toothbrush","Zahn-Bürsten","Recycling","Verpackung"
"Wrapping Paper with Metal/Plastic","Geschenkpapier mit Metall/Kunststoff","Recycling","Verpackung"
"Newspapers","Zeitungen","Paper","Papier"
"Magazines","Zeitschriften","Paper","Papier"
"Paper packaging","Verpackungen aus Papier","Paper","Papier"
"Cardboard boxes","Kartons","Paper","Papier"
"Leaflets","Prospekte","Paper","Papier"
"Card","Karte","Paper","Papier"
"Books","Bücher","Paper","Papier"
"Catalogues","Kataloge","Paper","Papier"
"Notebooks","Hefte","Paper","Papier"
"Writing paper","Briefpapier","Paper","Papier"
"Glass bottles","Flaschen","Glass","Glas"
"Wine bottles","Weinflaschen","Glass","Glas"
"Jam jars","Marmelade-Gläser","Glass","Glas"
"Vinegar bottles","Essigflaschen","Glass","Glas"
"Preserving jars","Konserven-Gläser","Glass","Glas"
"Babyfood jars","Baby-Nahrung-Gläser","Glass","Glas"
"Glass packaging","Verpackungen aus Glas","Glass","Glas"
"Perfume bottles","Parfüm-Flaschen","Glass","Glas"
"Medicine bottles","Flaschen für Medikamente","Glass","Glas"